Filename,Corpus,<# untagged words>,<# no-rules words>,<# tags>,<# words>,<# tokens>
NY TRYP by Windham Times Square (200)_5183,HotelReviews,100.0,0.0,59,59,129
SF  The Chancellor (303)_3571,HotelReviews,100.0,0.0,202,202,427
Madison HotelRED (69)_2651,HotelReviews,100.0,0.0,126,126,267
Madison Concourse Hotel (337)_2273,HotelReviews,100.0,0.0,115,115,247
SF Renaissance Stanford Court (306)_4354,HotelReviews,100.0,0.0,42,42,90
SF The Presidio Travelodge (304)_4086,HotelReviews,100.0,0.0,114,112,243
SF Renaissance Stanford Court (306)_4193,HotelReviews,100.0,0.0,122,122,255
NY TRYP by Windham Times Square (200)_5140,HotelReviews,100.0,0.0,321,312,680
Chicago The Talbott (309)_2774,HotelReviews,100.0,0.0,185,179,397
SF The Presidio Travelodge (304)_4057,HotelReviews,100.0,0.0,123,123,254
Chicago The Talbott (309)_2769,HotelReviews,100.0,0.0,37,37,82
NY The Iroquois (300)_4729,HotelReviews,100.0,0.0,238,236,500
NY The Surrey (300)_5029,HotelReviews,100.0,0.0,219,218,465
SF The Presidio Travelodge (304)_3899,HotelReviews,100.0,0.0,87,87,181
Madison DoubleTree (255)_2134,HotelReviews,100.0,0.0,62,62,135
NY The Surrey (300)_4847,HotelReviews,100.0,0.0,86,84,185
NY The Surrey (300)_4860,HotelReviews,100.0,0.0,476,467,982
SF  The Chancellor (303)_3822,HotelReviews,100.0,0.0,369,368,771
NY The Iroquois (300)_4662,HotelReviews,100.0,0.0,96,96,203
NY TRYP by Windham Times Square (200)_5258,HotelReviews,100.0,0.0,542,542,1119
Madison DoubleTree (255)_2154,HotelReviews,100.0,0.0,240,237,506
Chicago - La Quinta Inn & Suites (235)_3350,HotelReviews,100.0,0.0,217,217,455
Chicago Radisson Blu Aqua (330)_3246,HotelReviews,100.0,0.0,108,106,227
Madison DoubleTree (255)_2102,HotelReviews,100.0,0.0,53,53,113
SF  The Chancellor (303)_3561,HotelReviews,100.0,0.0,248,248,522
Chicago The Talbott (309)_2898,HotelReviews,100.0,0.0,97,95,203
Madison Concourse Hotel (337)_2431,HotelReviews,100.0,0.0,86,85,182
SF Renaissance Stanford Court (306)_4390,HotelReviews,100.0,0.0,73,73,156
NY The Iroquois (300)_4476,HotelReviews,100.0,0.0,149,148,313
Chicago Radisson Blu Aqua (330)_3215,HotelReviews,100.0,0.0,710,680,1493
Madison DoubleTree (255)_2164,HotelReviews,100.0,0.0,57,57,122
Madison Concourse Hotel (337)_2440,HotelReviews,100.0,0.0,114,114,241
NY The Surrey (300)_4830,HotelReviews,100.0,0.0,104,104,220
SF  The Chancellor (303)_3793,HotelReviews,100.0,0.0,272,271,568
SF  The Chancellor (303)_3714,HotelReviews,100.0,0.0,112,112,236
Madison DoubleTree (255)_2107,HotelReviews,100.0,0.0,78,78,167
NY The Iroquois (300)_4688,HotelReviews,100.0,0.0,111,111,233
SF The Presidio Travelodge (304)_3989,HotelReviews,100.0,0.0,100,99,212
SF The Presidio Travelodge (304)_4100,HotelReviews,100.0,0.0,93,93,197
SF  The Chancellor (303)_3653,HotelReviews,100.0,0.0,168,166,353
NY The Iroquois (300)_4572,HotelReviews,100.0,0.0,72,72,154
SF  The Chancellor (303)_3764,HotelReviews,100.0,0.0,92,92,193
Chicago The Talbott (309)_2957,HotelReviews,100.0,0.0,46,46,98
Madison DoubleTree (255)_2057,HotelReviews,100.0,0.0,148,144,309
NY The Iroquois (300)_4544,HotelReviews,100.0,0.0,164,163,361
Chicago - La Quinta Inn & Suites (235)_3400,HotelReviews,100.0,0.0,217,217,467
Chicago Radisson Blu Aqua (330)_3006,HotelReviews,100.0,0.0,64,64,131
NY TRYP by Windham Times Square (200)_5126,HotelReviews,100.0,0.0,79,77,166
Madison DoubleTree (255)_2243,HotelReviews,100.0,0.0,163,163,343
SF The Presidio Travelodge (304)_4077,HotelReviews,100.0,0.0,317,315,680
NY The Surrey (300)_4859,HotelReviews,100.0,0.0,259,259,534
SF The Presidio Travelodge (304)_3975,HotelReviews,100.0,0.0,52,52,108
Madison DoubleTree (255)_2238,HotelReviews,100.0,0.0,48,48,101
NY The Iroquois (300)_4670,HotelReviews,100.0,0.0,91,86,189
SF The Presidio Travelodge (304)_4000,HotelReviews,100.0,0.0,43,43,93
Chicago - La Quinta Inn & Suites (235)_3481,HotelReviews,100.0,0.0,28,28,64
NY TRYP by Windham Times Square (200)_5185,HotelReviews,100.0,0.0,101,101,216
Madison DoubleTree (255)_2186,HotelReviews,100.0,0.0,80,80,170
Chicago The Talbott (309)_2958,HotelReviews,100.0,0.0,404,386,865
Chicago The Talbott (309)_2841,HotelReviews,100.0,0.0,42,42,90
SF Renaissance Stanford Court (306)_4245,HotelReviews,100.0,0.0,171,168,356
Chicago Radisson Blu Aqua (330)_3163,HotelReviews,100.0,0.0,41,41,88
Chicago - La Quinta Inn & Suites (235)_3362,HotelReviews,100.0,0.0,45,45,96
SF  The Chancellor (303)_3607,HotelReviews,100.0,0.0,243,241,504
NY TRYP by Windham Times Square (200)_5169,HotelReviews,100.0,0.0,169,167,354
Chicago Radisson Blu Aqua (330)_3075,HotelReviews,100.0,0.0,112,112,238
Chicago The Talbott (309)_2733,HotelReviews,100.0,0.0,111,109,237
Chicago The Talbott (309)_2714,HotelReviews,100.0,0.0,134,132,289
