Filename,Corpus,<# untagged words>,<# no-rules words>,<# tags>,<# words>,<# tokens>
Madison DoubleTree (255)_2128,HotelReviews,100.0,0.0,91,90,191
Chicago Radisson Blu Aqua (330)_3023,HotelReviews,100.0,0.0,94,94,200
SF  The Chancellor (303)_3711,HotelReviews,100.0,0.0,96,95,206
Madison Concourse Hotel (337)_2398,HotelReviews,100.0,0.0,174,174,367
NY The Surrey (300)_5030,HotelReviews,100.0,0.0,107,106,227
SF  The Chancellor (303)_3771,HotelReviews,100.0,0.0,68,68,145
Chicago The Talbott (309)_2787,HotelReviews,100.0,0.0,49,49,108
SF Renaissance Stanford Court (306)_4385,HotelReviews,100.0,0.0,142,140,296
SF The Presidio Travelodge (304)_4150,HotelReviews,100.0,0.0,124,118,257
Madison DoubleTree (255)_2251,HotelReviews,100.0,0.0,51,51,110
Madison HotelRED (69)_2640,HotelReviews,100.0,0.0,53,53,116
NY The Iroquois (300)_4619,HotelReviews,100.0,0.0,158,156,327
Madison DoubleTree (255)_2039,HotelReviews,100.0,0.0,73,73,156
SF The Presidio Travelodge (304)_4036,HotelReviews,100.0,0.0,255,255,535
NY The Iroquois (300)_4503,HotelReviews,100.0,0.0,48,47,105
NY The Surrey (300)_4792,HotelReviews,100.0,0.0,125,124,265
NY The Surrey (300)_4986,HotelReviews,100.0,0.0,78,78,164
NY The Surrey (300)_4817,HotelReviews,100.0,0.0,377,376,786
Chicago Radisson Blu Aqua (330)_3306,HotelReviews,100.0,0.0,250,238,519
Chicago Radisson Blu Aqua (330)_3131,HotelReviews,100.0,0.0,45,45,98
SF Renaissance Stanford Court (306)_4286,HotelReviews,100.0,0.0,78,78,170
Madison DoubleTree (255)_2094,HotelReviews,100.0,0.0,26,26,58
Chicago The Talbott (309)_2953,HotelReviews,100.0,0.0,212,208,449
SF  The Chancellor (303)_3738,HotelReviews,100.0,0.0,156,156,330
Madison Concourse Hotel (337)_2530,HotelReviews,100.0,0.0,130,130,273
NY The Iroquois (300)_4606,HotelReviews,100.0,0.0,154,143,324
NY The Surrey (300)_5032,HotelReviews,100.0,0.0,1097,1090,2273
NY TRYP by Windham Times Square (200)_5179,HotelReviews,100.0,0.0,71,71,149
NY The Iroquois (300)_4660,HotelReviews,100.0,0.0,101,100,219
NY The Surrey (300)_4966,HotelReviews,100.0,0.0,30,30,67
SF The Presidio Travelodge (304)_3946,HotelReviews,100.0,0.0,63,63,132
SF  The Chancellor (303)_3614,HotelReviews,100.0,0.0,55,55,116
SF Renaissance Stanford Court (306)_4294,HotelReviews,100.0,0.0,116,115,250
Chicago The Talbott (309)_2727,HotelReviews,100.0,0.0,109,109,232
Chicago - La Quinta Inn & Suites (235)_3530,HotelReviews,100.0,0.0,32,32,67
Madison Concourse Hotel (337)_2300,HotelReviews,100.0,0.0,104,103,221
Chicago The Talbott (309)_2758,HotelReviews,100.0,0.0,84,83,180
Madison DoubleTree (255)_2028,HotelReviews,100.0,0.0,53,53,113
SF The Presidio Travelodge (304)_4063,HotelReviews,100.0,0.0,63,63,134
Chicago The Talbott (309)_2743,HotelReviews,100.0,0.0,128,123,269
Madison DoubleTree (255)_2105,HotelReviews,100.0,0.0,71,70,149
NY The Surrey (300)_4820,HotelReviews,100.0,0.0,173,172,361
Madison Concourse Hotel (337)_2448,HotelReviews,100.0,0.0,413,411,868
NY The Surrey (300)_4931,HotelReviews,100.0,0.0,109,108,228
Madison Concourse Hotel (337)_2607,HotelReviews,100.0,0.0,104,104,218
Chicago The Talbott (309)_2971,HotelReviews,100.0,0.0,230,229,488
Madison Concourse Hotel (337)_2529,HotelReviews,100.0,0.0,259,259,538
Chicago - La Quinta Inn & Suites (235)_3463,HotelReviews,100.0,0.0,92,92,201
SF  The Chancellor (303)_3772,HotelReviews,100.0,0.0,38,37,83
SF  The Chancellor (303)_3556,HotelReviews,100.0,0.0,139,139,288
Chicago The Talbott (309)_2893,HotelReviews,100.0,0.0,168,166,352
NY The Iroquois (300)_4632,HotelReviews,100.0,0.0,295,294,622
NY The Surrey (300)_4939,HotelReviews,100.0,0.0,153,147,317
Chicago - La Quinta Inn & Suites (235)_3449,HotelReviews,100.0,0.0,51,51,105
SF The Presidio Travelodge (304)_3873,HotelReviews,100.0,0.0,127,123,265
NY TRYP by Windham Times Square (200)_5110,HotelReviews,100.0,0.0,104,104,221
SF Renaissance Stanford Court (306)_4325,HotelReviews,100.0,0.0,56,56,120
Chicago Radisson Blu Aqua (330)_3185,HotelReviews,100.0,0.0,43,43,91
Madison DoubleTree (255)_2216,HotelReviews,100.0,0.0,97,97,204
SF The Presidio Travelodge (304)_4035,HotelReviews,100.0,0.0,164,164,344
Madison DoubleTree (255)_2050,HotelReviews,100.0,0.0,352,351,733
Madison DoubleTree (255)_2077,HotelReviews,100.0,0.0,21,21,47
NY The Iroquois (300)_4639,HotelReviews,100.0,0.0,132,131,277
Madison Concourse Hotel (337)_2543,HotelReviews,100.0,0.0,137,136,289
SF The Presidio Travelodge (304)_3968,HotelReviews,100.0,0.0,67,67,138
SF Renaissance Stanford Court (306)_4265,HotelReviews,100.0,0.0,172,172,359
SF The Presidio Travelodge (304)_4078,HotelReviews,100.0,0.0,66,66,140
Madison Concourse Hotel (337)_2574,HotelReviews,100.0,0.0,140,139,292
Chicago Radisson Blu Aqua (330)_3208,HotelReviews,100.0,0.0,106,105,228
Madison Concourse Hotel (337)_2477,HotelReviews,100.0,0.0,37,37,79
Chicago Radisson Blu Aqua (330)_3107,HotelReviews,100.0,0.0,216,216,465
Madison DoubleTree (255)_2144,HotelReviews,100.0,0.0,15,15,34
Madison Concourse Hotel (337)_2466,HotelReviews,100.0,0.0,65,63,136
Chicago Radisson Blu Aqua (330)_3273,HotelReviews,100.0,0.0,105,104,220
SF  The Chancellor (303)_3625,HotelReviews,100.0,0.0,125,124,259
SF  The Chancellor (303)_3600,HotelReviews,100.0,0.0,72,70,147
NY The Surrey (300)_5031,HotelReviews,100.0,0.0,61,61,132
SF Renaissance Stanford Court (306)_4400,HotelReviews,100.0,0.0,277,275,581
NY The Surrey (300)_4876,HotelReviews,100.0,0.0,129,128,273
Chicago - La Quinta Inn & Suites (235)_3389,HotelReviews,100.0,0.0,79,79,170
Madison HotelRED (69)_2644,HotelReviews,100.0,0.0,102,101,218
Chicago The Talbott (309)_2793,HotelReviews,100.0,0.0,112,112,233
NY TRYP by Windham Times Square (200)_5184,HotelReviews,100.0,0.0,50,48,108
SF Renaissance Stanford Court (306)_4297,HotelReviews,100.0,0.0,53,53,113
NY The Iroquois (300)_4678,HotelReviews,100.0,0.0,128,128,265
SF  The Chancellor (303)_3782,HotelReviews,100.0,0.0,120,114,250
SF  The Chancellor (303)_3842,HotelReviews,100.0,0.0,117,117,247
SF Renaissance Stanford Court (306)_4267,HotelReviews,100.0,0.0,144,141,304
Madison Concourse Hotel (337)_2379,HotelReviews,100.0,0.0,160,160,337
SF The Presidio Travelodge (304)_3951,HotelReviews,100.0,0.0,61,61,129
Madison Concourse Hotel (337)_2592,HotelReviews,100.0,0.0,153,150,326
NY TRYP by Windham Times Square (200)_5252,HotelReviews,100.0,0.0,231,229,500
Chicago The Talbott (309)_2834,HotelReviews,100.0,0.0,147,147,312
SF  The Chancellor (303)_3801,HotelReviews,100.0,0.0,155,153,322
Madison Concourse Hotel (337)_2565,HotelReviews,100.0,0.0,202,202,425
SF Renaissance Stanford Court (306)_4458,HotelReviews,100.0,0.0,61,61,129
Chicago Radisson Blu Aqua (330)_3231,HotelReviews,100.0,0.0,284,281,589
NY The Surrey (300)_4960,HotelReviews,100.0,0.0,256,256,536
Madison DoubleTree (255)_2252,HotelReviews,100.0,0.0,152,151,316
Chicago - La Quinta Inn & Suites (235)_3470,HotelReviews,100.0,0.0,106,105,220
NY The Iroquois (300)_4701,HotelReviews,100.0,0.0,46,45,103
Chicago Radisson Blu Aqua (330)_3149,HotelReviews,100.0,0.0,795,790,1657
Madison Concourse Hotel (337)_2419,HotelReviews,100.0,0.0,89,89,195
Chicago The Talbott (309)_2807,HotelReviews,100.0,0.0,16,16,35
SF Renaissance Stanford Court (306)_4394,HotelReviews,100.0,0.0,80,80,165
Madison Concourse Hotel (337)_2382,HotelReviews,100.0,0.0,63,62,137
SF Renaissance Stanford Court (306)_4177,HotelReviews,100.0,0.0,69,69,152
Chicago - La Quinta Inn & Suites (235)_3365,HotelReviews,100.0,0.0,66,64,148
Chicago Radisson Blu Aqua (330)_3187,HotelReviews,100.0,0.0,426,425,899
SF  The Chancellor (303)_3717,HotelReviews,100.0,0.0,45,45,97
Chicago The Talbott (309)_2761,HotelReviews,100.0,0.0,534,530,1124
Chicago - La Quinta Inn & Suites (235)_3542,HotelReviews,100.0,0.0,49,46,103
NY The Surrey (300)_4993,HotelReviews,100.0,0.0,202,198,419
Chicago Radisson Blu Aqua (330)_3035,HotelReviews,100.0,0.0,134,130,284
Madison Concourse Hotel (337)_2276,HotelReviews,100.0,0.0,98,98,212
NY TRYP by Windham Times Square (200)_5172,HotelReviews,100.0,0.0,80,80,169
SF The Presidio Travelodge (304)_3888,HotelReviews,100.0,0.0,114,107,243
Chicago The Talbott (309)_2745,HotelReviews,100.0,0.0,53,53,116
Madison DoubleTree (255)_2261,HotelReviews,100.0,0.0,113,111,238
NY The Iroquois (300)_4610,HotelReviews,100.0,0.0,147,144,306
Madison DoubleTree (255)_2258,HotelReviews,100.0,0.0,519,515,1099
NY TRYP by Windham Times Square (200)_5148,HotelReviews,100.0,0.0,144,144,304
SF Renaissance Stanford Court (306)_4328,HotelReviews,100.0,0.0,1004,988,2081
Chicago The Talbott (309)_2985,HotelReviews,100.0,0.0,350,350,741
Chicago - La Quinta Inn & Suites (235)_3502,HotelReviews,100.0,0.0,35,35,78
SF  The Chancellor (303)_3666,HotelReviews,100.0,0.0,59,57,122
Madison Concourse Hotel (337)_2603,HotelReviews,100.0,0.0,406,401,865
NY The Iroquois (300)_4725,HotelReviews,100.0,0.0,614,613,1271
Madison DoubleTree (255)_2033,HotelReviews,100.0,0.0,51,51,108
SF The Presidio Travelodge (304)_3934,HotelReviews,100.0,0.0,444,443,940
SF Renaissance Stanford Court (306)_4404,HotelReviews,100.0,0.0,139,136,301
SF  The Chancellor (303)_3629,HotelReviews,100.0,0.0,125,125,264
Madison Concourse Hotel (337)_2314,HotelReviews,100.0,0.0,86,82,182
Chicago - La Quinta Inn & Suites (235)_3323,HotelReviews,100.0,0.0,46,46,99
Chicago The Talbott (309)_2980,HotelReviews,100.0,0.0,131,130,279
SF Renaissance Stanford Court (306)_4319,HotelReviews,100.0,0.0,149,143,318
SF The Presidio Travelodge (304)_4152,HotelReviews,100.0,0.0,131,131,281
Madison Concourse Hotel (337)_2322,HotelReviews,100.0,0.0,134,134,281
SF  The Chancellor (303)_3720,HotelReviews,100.0,0.0,89,88,187
Chicago Radisson Blu Aqua (330)_3059,HotelReviews,100.0,0.0,41,40,89
Chicago The Talbott (309)_2913,HotelReviews,100.0,0.0,172,168,358
SF  The Chancellor (303)_3681,HotelReviews,100.0,0.0,206,202,435
Madison Concourse Hotel (337)_2495,HotelReviews,100.0,0.0,105,105,219
NY The Iroquois (300)_4536,HotelReviews,100.0,0.0,52,52,110
SF The Presidio Travelodge (304)_3964,HotelReviews,100.0,0.0,86,86,179
Madison DoubleTree (255)_2088,HotelReviews,100.0,0.0,30,30,64
Chicago The Talbott (309)_2903,HotelReviews,100.0,0.0,154,152,334
SF  The Chancellor (303)_3695,HotelReviews,100.0,0.0,270,268,579
Madison Concourse Hotel (337)_2291,HotelReviews,100.0,0.0,219,218,475
Chicago The Talbott (309)_2702,HotelReviews,100.0,0.0,153,151,325
Madison HotelRED (69)_2671,HotelReviews,100.0,0.0,126,125,269
Chicago Radisson Blu Aqua (330)_3113,HotelReviews,100.0,0.0,115,115,248
NY The Surrey (300)_4894,HotelReviews,100.0,0.0,73,72,162
Chicago The Talbott (309)_2818,HotelReviews,100.0,0.0,90,89,192
SF  The Chancellor (303)_3578,HotelReviews,100.0,0.0,287,286,605
Chicago Radisson Blu Aqua (330)_3138,HotelReviews,100.0,0.0,254,254,524
SF The Presidio Travelodge (304)_4006,HotelReviews,100.0,0.0,92,92,194
Madison Concourse Hotel (337)_2511,HotelReviews,100.0,0.0,164,163,346
Chicago Radisson Blu Aqua (330)_3241,HotelReviews,100.0,0.0,100,99,214
Chicago The Talbott (309)_2871,HotelReviews,100.0,0.0,30,30,64
NY The Iroquois (300)_4683,HotelReviews,100.0,0.0,83,83,178
Madison HotelRED (69)_2641,HotelReviews,100.0,0.0,286,282,611
Chicago Radisson Blu Aqua (330)_3197,HotelReviews,100.0,0.0,129,129,271
Chicago The Talbott (309)_2751,HotelReviews,100.0,0.0,722,711,1545
Madison Concourse Hotel (337)_2520,HotelReviews,100.0,0.0,94,94,197
SF The Presidio Travelodge (304)_4064,HotelReviews,100.0,0.0,78,78,167
NY The Iroquois (300)_4566,HotelReviews,100.0,0.0,401,401,832
SF The Presidio Travelodge (304)_3909,HotelReviews,100.0,0.0,202,201,437
Chicago Radisson Blu Aqua (330)_3313,HotelReviews,100.0,0.0,204,204,439
SF  The Chancellor (303)_3784,HotelReviews,100.0,0.0,77,77,167
Chicago - La Quinta Inn & Suites (235)_3335,HotelReviews,100.0,0.0,82,82,170
NY The Surrey (300)_4917,HotelReviews,100.0,0.0,235,231,502
Madison DoubleTree (255)_2156,HotelReviews,100.0,0.0,83,83,177
SF The Presidio Travelodge (304)_4090,HotelReviews,100.0,0.0,108,106,232
Chicago - La Quinta Inn & Suites (235)_3391,HotelReviews,100.0,0.0,97,97,208
SF Renaissance Stanford Court (306)_4168,HotelReviews,100.0,0.0,65,65,137
Madison DoubleTree (255)_2268,HotelReviews,100.0,0.0,217,215,456
Madison Concourse Hotel (337)_2402,HotelReviews,100.0,0.0,124,124,265
Chicago Radisson Blu Aqua (330)_3004,HotelReviews,100.0,0.0,141,134,300
Chicago - La Quinta Inn & Suites (235)_3402,HotelReviews,100.0,0.0,64,63,133
Madison HotelRED (69)_2634,HotelReviews,100.0,0.0,67,66,141
SF Renaissance Stanford Court (306)_4446,HotelReviews,100.0,0.0,26,26,55
NY The Surrey (300)_4952,HotelReviews,100.0,0.0,180,179,375
SF The Presidio Travelodge (304)_3987,HotelReviews,100.0,0.0,158,158,333
NY The Surrey (300)_4850,HotelReviews,100.0,0.0,125,125,263
SF  The Chancellor (303)_3642,HotelReviews,100.0,0.0,157,155,327
Chicago - La Quinta Inn & Suites (235)_3483,HotelReviews,100.0,0.0,188,188,394
NY TRYP by Windham Times Square (200)_5242,HotelReviews,100.0,0.0,90,89,192
SF Renaissance Stanford Court (306)_4247,HotelReviews,100.0,0.0,70,70,147
Chicago - La Quinta Inn & Suites (235)_3445,HotelReviews,100.0,0.0,113,113,235
Chicago Radisson Blu Aqua (330)_3249,HotelReviews,100.0,0.0,88,88,186
SF The Presidio Travelodge (304)_3926,HotelReviews,100.0,0.0,106,100,219
Chicago Radisson Blu Aqua (330)_3027,HotelReviews,100.0,0.0,265,264,565
Chicago Radisson Blu Aqua (330)_3069,HotelReviews,100.0,0.0,209,205,450
NY The Iroquois (300)_4672,HotelReviews,100.0,0.0,57,56,122
NY The Iroquois (300)_4656,HotelReviews,100.0,0.0,266,262,554
Chicago Radisson Blu Aqua (330)_3136,HotelReviews,100.0,0.0,103,102,220
NY The Surrey (300)_4786,HotelReviews,100.0,0.0,177,175,375
SF  The Chancellor (303)_3816,HotelReviews,100.0,0.0,183,183,385
Chicago The Talbott (309)_2926,HotelReviews,100.0,0.0,130,128,268
SF The Presidio Travelodge (304)_4049,HotelReviews,100.0,0.0,86,86,186
NY The Surrey (300)_5045,HotelReviews,100.0,0.0,288,280,620
Madison Concourse Hotel (337)_2587,HotelReviews,100.0,0.0,204,204,421
SF  The Chancellor (303)_3833,HotelReviews,100.0,0.0,41,39,87
NY TRYP by Windham Times Square (200)_5195,HotelReviews,100.0,0.0,68,68,145
SF Renaissance Stanford Court (306)_4223,HotelReviews,100.0,0.0,167,167,353
Madison Concourse Hotel (337)_2335,HotelReviews,100.0,0.0,41,41,90
NY The Iroquois (300)_4498,HotelReviews,100.0,0.0,159,157,330
NY The Surrey (300)_4836,HotelReviews,100.0,0.0,83,81,181
Madison DoubleTree (255)_2130,HotelReviews,100.0,0.0,30,30,63
NY TRYP by Windham Times Square (200)_5160,HotelReviews,100.0,0.0,69,69,145
Chicago - La Quinta Inn & Suites (235)_3488,HotelReviews,100.0,0.0,268,267,555
SF Renaissance Stanford Court (306)_4311,HotelReviews,100.0,0.0,261,261,550
SF The Presidio Travelodge (304)_3870,HotelReviews,100.0,0.0,71,71,148
Madison DoubleTree (255)_2092,HotelReviews,100.0,0.0,183,183,384
NY The Surrey (300)_4985,HotelReviews,100.0,0.0,102,99,208
NY The Iroquois (300)_4546,HotelReviews,100.0,0.0,233,232,491
SF  The Chancellor (303)_3582,HotelReviews,100.0,0.0,101,101,217
NY The Iroquois (300)_4664,HotelReviews,100.0,0.0,194,194,401
NY The Surrey (300)_5023,HotelReviews,100.0,0.0,131,127,270
NY The Iroquois (300)_4681,HotelReviews,100.0,0.0,150,149,317
Madison Concourse Hotel (337)_2582,HotelReviews,100.0,0.0,302,300,630
NY TRYP by Windham Times Square (200)_5150,HotelReviews,100.0,0.0,141,141,300
NY TRYP by Windham Times Square (200)_5096,HotelReviews,100.0,0.0,155,153,324
Chicago The Talbott (309)_2852,HotelReviews,100.0,0.0,80,80,172
Madison Concourse Hotel (337)_2600,HotelReviews,100.0,0.0,74,72,157
Madison Concourse Hotel (337)_2481,HotelReviews,100.0,0.0,117,117,242
SF Renaissance Stanford Court (306)_4281,HotelReviews,100.0,0.0,214,208,454
NY The Iroquois (300)_4728,HotelReviews,100.0,0.0,98,98,210
SF Renaissance Stanford Court (306)_4184,HotelReviews,100.0,0.0,87,87,183
SF The Presidio Travelodge (304)_4030,HotelReviews,100.0,0.0,405,404,850
NY The Iroquois (300)_4735,HotelReviews,100.0,0.0,67,67,144
Madison DoubleTree (255)_2078,HotelReviews,100.0,0.0,232,230,489
SF Renaissance Stanford Court (306)_4355,HotelReviews,100.0,0.0,65,65,139
SF Renaissance Stanford Court (306)_4174,HotelReviews,100.0,0.0,118,118,251
NY The Iroquois (300)_4636,HotelReviews,100.0,0.0,175,175,373
Chicago Radisson Blu Aqua (330)_3269,HotelReviews,100.0,0.0,225,225,467
NY TRYP by Windham Times Square (200)_5100,HotelReviews,100.0,0.0,271,270,574
Chicago Radisson Blu Aqua (330)_3294,HotelReviews,100.0,0.0,307,306,644
SF Renaissance Stanford Court (306)_4366,HotelReviews,100.0,0.0,331,328,701
Chicago Radisson Blu Aqua (330)_3080,HotelReviews,100.0,0.0,85,83,179
SF Renaissance Stanford Court (306)_4384,HotelReviews,100.0,0.0,53,51,109
SF The Presidio Travelodge (304)_3978,HotelReviews,100.0,0.0,100,100,211
SF  The Chancellor (303)_3768,HotelReviews,100.0,0.0,93,93,203
Chicago - La Quinta Inn & Suites (235)_3546,HotelReviews,100.0,0.0,65,63,145
Chicago - La Quinta Inn & Suites (235)_3396,HotelReviews,100.0,0.0,67,67,142
NY The Surrey (300)_4968,HotelReviews,100.0,0.0,187,185,403
NY TRYP by Windham Times Square (200)_5193,HotelReviews,100.0,0.0,144,141,320
Chicago The Talbott (309)_2889,HotelReviews,100.0,0.0,211,209,444
SF  The Chancellor (303)_3552,HotelReviews,100.0,0.0,215,214,461
NY The Iroquois (300)_4526,HotelReviews,100.0,0.0,155,155,323
NY The Iroquois (300)_4502,HotelReviews,100.0,0.0,146,144,313
Madison Concourse Hotel (337)_2545,HotelReviews,100.0,0.0,66,66,144
Madison DoubleTree (255)_2056,HotelReviews,100.0,0.0,51,51,108
SF The Presidio Travelodge (304)_4020,HotelReviews,100.0,0.0,194,191,411
Madison Concourse Hotel (337)_2551,HotelReviews,100.0,0.0,230,230,482
SF The Presidio Travelodge (304)_4009,HotelReviews,100.0,0.0,206,204,436
NY The Surrey (300)_4914,HotelReviews,100.0,0.0,149,149,316
Madison HotelRED (69)_2616,HotelReviews,100.0,0.0,81,81,175
SF The Presidio Travelodge (304)_4072,HotelReviews,100.0,0.0,182,180,381
Chicago Radisson Blu Aqua (330)_3210,HotelReviews,100.0,0.0,110,110,236
SF  The Chancellor (303)_3617,HotelReviews,100.0,0.0,69,69,147
Chicago Radisson Blu Aqua (330)_3278,HotelReviews,100.0,0.0,76,76,164
Chicago Radisson Blu Aqua (330)_3099,HotelReviews,100.0,0.0,141,139,295
Madison Concourse Hotel (337)_2406,HotelReviews,100.0,0.0,170,167,354
Madison Concourse Hotel (337)_2445,HotelReviews,100.0,0.0,65,65,143
Madison Concourse Hotel (337)_2367,HotelReviews,100.0,0.0,152,152,312
NY The Iroquois (300)_4642,HotelReviews,100.0,0.0,52,51,112
SF  The Chancellor (303)_3581,HotelReviews,100.0,0.0,69,68,149
SF  The Chancellor (303)_3802,HotelReviews,100.0,0.0,55,53,119
SF Renaissance Stanford Court (306)_4201,HotelReviews,100.0,0.0,206,202,440
SF The Presidio Travelodge (304)_3896,HotelReviews,100.0,0.0,70,70,148
SF Renaissance Stanford Court (306)_4387,HotelReviews,100.0,0.0,13,13,30
Chicago The Talbott (309)_2740,HotelReviews,100.0,0.0,53,53,113
SF Renaissance Stanford Court (306)_4348,HotelReviews,100.0,0.0,178,176,371
NY TRYP by Windham Times Square (200)_5133,HotelReviews,100.0,0.0,254,252,532
NY The Surrey (300)_4819,HotelReviews,100.0,0.0,188,184,400
SF The Presidio Travelodge (304)_4025,HotelReviews,100.0,0.0,209,209,431
Madison DoubleTree (255)_2090,HotelReviews,100.0,0.0,28,28,62
SF  The Chancellor (303)_3590,HotelReviews,100.0,0.0,47,47,101
Chicago Radisson Blu Aqua (330)_3259,HotelReviews,100.0,0.0,232,232,497
SF The Presidio Travelodge (304)_4082,HotelReviews,100.0,0.0,90,89,186
Madison DoubleTree (255)_2195,HotelReviews,100.0,0.0,17,17,39
SF  The Chancellor (303)_3810,HotelReviews,100.0,0.0,152,151,313
Chicago - La Quinta Inn & Suites (235)_3417,HotelReviews,100.0,0.0,70,70,148
NY The Iroquois (300)_4650,HotelReviews,100.0,0.0,15,15,35
SF Renaissance Stanford Court (306)_4218,HotelReviews,100.0,0.0,179,176,367
Chicago Radisson Blu Aqua (330)_2987,HotelReviews,100.0,0.0,82,80,173
Chicago The Talbott (309)_2693,HotelReviews,100.0,0.0,283,279,615
NY The Surrey (300)_5055,HotelReviews,100.0,0.0,127,124,273
SF Renaissance Stanford Court (306)_4225,HotelReviews,100.0,0.0,203,189,412
SF  The Chancellor (303)_3790,HotelReviews,100.0,0.0,125,125,263
Chicago Radisson Blu Aqua (330)_3227,HotelReviews,100.0,0.0,87,87,186
Chicago Radisson Blu Aqua (330)_3200,HotelReviews,100.0,0.0,62,62,133
Madison Concourse Hotel (337)_2454,HotelReviews,100.0,0.0,225,225,465
NY The Iroquois (300)_4595,HotelReviews,100.0,0.0,100,98,213
Madison DoubleTree (255)_2113,HotelReviews,100.0,0.0,131,129,275
SF Renaissance Stanford Court (306)_4278,HotelReviews,100.0,0.0,203,203,427
NY The Surrey (300)_4997,HotelReviews,100.0,0.0,176,171,367
Chicago - La Quinta Inn & Suites (235)_3373,HotelReviews,100.0,0.0,159,159,337
NY The Iroquois (300)_4617,HotelReviews,100.0,0.0,210,209,433
Madison DoubleTree (255)_2153,HotelReviews,100.0,0.0,57,57,126
Chicago - La Quinta Inn & Suites (235)_3363,HotelReviews,100.0,0.0,111,110,232
Chicago Radisson Blu Aqua (330)_3135,HotelReviews,100.0,0.0,76,75,157
Chicago - La Quinta Inn & Suites (235)_3505,HotelReviews,100.0,0.0,41,41,88
SF  The Chancellor (303)_3736,HotelReviews,100.0,0.0,529,528,1106
Chicago Radisson Blu Aqua (330)_3250,HotelReviews,100.0,0.0,217,216,456
Chicago Radisson Blu Aqua (330)_3286,HotelReviews,100.0,0.0,116,116,248
NY The Iroquois (300)_4570,HotelReviews,100.0,0.0,48,48,101
NY TRYP by Windham Times Square (200)_5079,HotelReviews,100.0,0.0,193,193,402
SF The Presidio Travelodge (304)_4138,HotelReviews,100.0,0.0,79,79,168
Chicago - La Quinta Inn & Suites (235)_3412,HotelReviews,100.0,0.0,362,360,773
Madison DoubleTree (255)_2029,HotelReviews,100.0,0.0,119,118,250
Chicago Radisson Blu Aqua (330)_3022,HotelReviews,100.0,0.0,170,170,357
NY The Iroquois (300)_4593,HotelReviews,100.0,0.0,178,178,375
Chicago Radisson Blu Aqua (330)_3144,HotelReviews,100.0,0.0,149,149,319
Madison DoubleTree (255)_2257,HotelReviews,100.0,0.0,37,37,79
Chicago - La Quinta Inn & Suites (235)_3448,HotelReviews,100.0,0.0,112,112,234
SF The Presidio Travelodge (304)_4014,HotelReviews,100.0,0.0,78,78,167
Chicago The Talbott (309)_2756,HotelReviews,100.0,0.0,79,79,168
SF Renaissance Stanford Court (306)_4262,HotelReviews,100.0,0.0,123,122,258
Madison Concourse Hotel (337)_2527,HotelReviews,100.0,0.0,130,130,269
NY TRYP by Windham Times Square (200)_5069,HotelReviews,100.0,0.0,44,44,95
Chicago Radisson Blu Aqua (330)_3314,HotelReviews,100.0,0.0,140,140,296
SF  The Chancellor (303)_3773,HotelReviews,100.0,0.0,84,84,179
NY The Iroquois (300)_4516,HotelReviews,100.0,0.0,125,125,260
NY TRYP by Windham Times Square (200)_5121,HotelReviews,100.0,0.0,86,86,184
SF  The Chancellor (303)_3696,HotelReviews,100.0,0.0,124,122,260
Madison Concourse Hotel (337)_2343,HotelReviews,100.0,0.0,49,49,101
Chicago - La Quinta Inn & Suites (235)_3498,HotelReviews,100.0,0.0,58,58,122
NY The Iroquois (300)_4763,HotelReviews,100.0,0.0,124,123,266
Chicago The Talbott (309)_2899,HotelReviews,100.0,0.0,136,135,288
NY The Iroquois (300)_4560,HotelReviews,100.0,0.0,223,221,466
Chicago The Talbott (309)_2932,HotelReviews,100.0,0.0,211,210,443
SF Renaissance Stanford Court (306)_4231,HotelReviews,100.0,0.0,172,171,360
SF The Presidio Travelodge (304)_3962,HotelReviews,100.0,0.0,90,90,191
Chicago The Talbott (309)_2869,HotelReviews,100.0,0.0,131,130,279
Chicago Radisson Blu Aqua (330)_3063,HotelReviews,100.0,0.0,105,105,222
Chicago Radisson Blu Aqua (330)_3263,HotelReviews,100.0,0.0,31,31,67
Madison Concourse Hotel (337)_2410,HotelReviews,100.0,0.0,214,214,442
Chicago - La Quinta Inn & Suites (235)_3330,HotelReviews,100.0,0.0,212,209,449
NY The Iroquois (300)_4504,HotelReviews,100.0,0.0,52,52,111
SF  The Chancellor (303)_3593,HotelReviews,100.0,0.0,304,304,637
Madison Concourse Hotel (337)_2378,HotelReviews,100.0,0.0,23,23,50
SF  The Chancellor (303)_3658,HotelReviews,100.0,0.0,146,146,304
SF  The Chancellor (303)_3587,HotelReviews,100.0,0.0,281,271,585
NY The Iroquois (300)_4700,HotelReviews,100.0,0.0,88,87,188
Madison DoubleTree (255)_2131,HotelReviews,100.0,0.0,41,40,87
NY TRYP by Windham Times Square (200)_5073,HotelReviews,100.0,0.0,180,180,388
Madison DoubleTree (255)_2152,HotelReviews,100.0,0.0,150,150,323
Madison Concourse Hotel (337)_2485,HotelReviews,100.0,0.0,197,192,416
SF The Presidio Travelodge (304)_4094,HotelReviews,100.0,0.0,269,269,563
Madison Concourse Hotel (337)_2301,HotelReviews,100.0,0.0,78,76,164
Chicago Radisson Blu Aqua (330)_3115,HotelReviews,100.0,0.0,77,72,157
Chicago The Talbott (309)_2877,HotelReviews,100.0,0.0,279,271,590
NY TRYP by Windham Times Square (200)_5092,HotelReviews,100.0,0.0,76,75,159
